Word/Phrase	Polarity Score(Normalized)	Polarity Score
اباحي	1	-3
اباحيه	1	-3
اباد	0.75	-3
ابادة	0.5	-2
ابادة جماعية	0	-1
ابادتم	0	-1
اباس	0.333333333	-2
ابالسه	0	-1
ابتداعي	0	-1
ابتدع	0	-1
ابتذل	0	-1
ابتزاز	0.25	-2
ابتعاده	0.5	-2
ابتعد عن	0	-1
ابتعد عن	0	-1
ابتعدت	0.4	-2
ابتلاء	0	-1
ابتلى	0	-1
ابتلي	0	-1
ابتليت	0	-1
ابخرة	0	-1
ابرم	1	-3
ابشع	0.941176471	-3
ابشع	0.941176471	-3
ابطا	0.444444444	-2
ابطاء	0	-1
ابطاء	0	-1
ابطل	0.25	-2
ابعادهم	0	-1
ابعادهم	0	-1
ابعد	0.555555556	-2
ابعدت	0	-1
ابغض	0	-1
ابغض	0	-1
ابكي	0.666666667	-2
ابلاغ	0.833333333	-3
ابلغ	0.857142857	-3
ابلغته	1	-3
ابلغتهما	0	-1
ابله	0.642857143	-2
ابلى	0	-1
ابليس	1	-3
ابليس	1	-3
ابن الحيوان	0	-1
ابن زنا	0	-1
ابنتها	0.277777778	-2
ابو جهل	0	-1
ابو وجهين	0	-1
ابوجهل	0	-1
ابى	0.75	-3
ابيتم	0	-1
ابيح	0.5	-2
اتجار	0.333333333	-2
اتجهت	0.75	-3
اتحرك	0	-1
اتخلى	0	-1
اترشح	0	-1
اتساخ	0.5	-2
اتسخ	0	-1
اتسول	0	-1
اتشان	0	-1
اتعب	0.125	-1
اتق الله	0	-1
اتقي الله	0	-1
اتقي شر	0	-1
اتلاف	0.666666667	-2
اتلاف	0.666666667	-2
اتلافها	0	-1
اتلف	0	-1
اتهام	0.545454545	-2
اتهامات	1	-3
اتهامات بالفساد	0	-1
اتهامه	1	-3
اتهامهم	0	-1
اتهامهم	0	-1
اتهم	0.285714286	-2
اتهم	0.285714286	-2
اتهم	0.285714286	-2
اتهمت	0.5	-2
اتهمت	0.5	-2
اتهمته	0.5	-2
اتهمته	0.5	-2
اتهمها	0	-1
اتهموا	1	-3
اتهموه	0	-1
اتيحت له	0	-1
اثار	0.447368421	-2
اثار	0.447368421	-2
اثار	0.447368421	-2
اثار استياء	0	-1
اثار اعصابه	0	-1
اثار جدلا	0	-1
اثار حفيظة	0	-1
اثار حفيظة	0	-1
اثار سخطه	0	-1
اثار سلبية	0	-1
اثار قلق	0	-1
اثار قلق	0	-1
اثارة	0.337078652	-2
اثارة	0.337078652	-2
اثارة الفتنة	0	-1
اثارة الفوضى	0	-1
اثارت	0	-1
اثاروا	0	-1
اثخان	0	-1
اثرت	0.285714286	-2
اثقل على	0	-1
اثم	0.333333333	-2
اثم	0.333333333	-2
اثناء الحمل	0	-1
