Word/Phrase	Polarity Score(Normalized)	Polarity Score
ابتسام	0.37037037	2
ابتسامة	0.178571429	1
ابتكار	0.428571429	2
ابتهاج	0	1
ابداع	0.291666667	2
ابراز	0.230769231	1
ابقاء	0.538461538	2
اتزان	0.4	2
اتفاق	0.684210526	2
اتقان	0.090909091	1
اتمام	0.5	2
اثار	0.447368421	2
اثارة	0.337078652	2
اثبات	0.423076923	2
اثراء	0.5	2
اجاز	0.517241379	2
اجازة	0.277777778	2
اجتماع	0.296296296	2
اجتماعي	0.440677966	2
اجتهاد	0.75	3
اجلال	0	1
اجمل	0.063291139	1
احترام	0.572413793	2
احتفال	0.15625	1
احتواء	0.222222222	1
احراز	0	1
احساس	0.231884058	1
احسان	0.333333333	2
احسن	0.461065574	2
احلال	0	1
احياء	0.205882353	1
اختراع	0.647058824	2
اختراق	1	3
اخلاص	0.222222222	1
اخلاق	0.554216867	2
اخلاقي	0.652173913	2
ادماج	0	1
ارادة	0.444444444	2
ارتباط	0.19047619	1
ارتفاع	0.160714286	1
ارقى	0.166666667	1
ازدهار	1	3
استبدال	0.526315789	2
استبشار	0	1
استجمام	0.222222222	1
استحسان	1	3
استخلاص	0	1
استعادة	0.3125	2
استعداد	0.260869565	2
استقرار	0.44	2
استقلال	0.625	2
استمرار	0.385714286	2
استيعاب	0.2	1
اسرع	0.323529412	2
اسطورة	0.322580645	2
اسعد	0.0625	1
اسهل	0.461538462	2
اشادة	0.307692308	2
اشباع	0.4	2
اشراف	0.5	2
اشراك	0	1
اصالة	0.260869565	2
اصلاح	0.676470588	2
اصلي	0.427350427	2
اصيل	0.18134715	1
اضاءة	0.121212121	1
اعتبار	0.458333333	2
اعتزاز	0	1
اعزاز	1	3
اعطاء	0.428571429	2
اعظم	0.11627907	1
اغرى	0	1
افراج	0.666666667	2
افضل	0.17971196	1
اقبال	0.349206349	2
اكبر	0.399463807	2
اكتساب	1	3
اكتساح	1	3
اكتشاف	0.264705882	2
اكرم	0.28	2
التزام	0.625	2
الجنة	0.411764706	2
المع	0.379512195	2
امان	0.25	2
امانة	0.682926829	2
امتنان	1	3
امتياز	0.323529412	2
امل	0.415335463	2
امن	0.562992126	2
امين	0.2176	1
اناقة	1	3
انتصار	0.555555556	2
انتعاش	1	3
انجاز	0.5	2
انس	0.502202643	2
انساني	0.509090909	2
انسانية	0.432835821	2
انسجام	0.166666667	1
انشراح	0	1
انصار	0.71875	2
انطلاق	0.411764706	2
انفتاح	0.2	1
انفصال	0.6	2
انيق	0.102564103	1
اهتمام	0.44200627	2
اهم	0.304972376	2
اهمية	0.333333333	2
ايجاب	0.333333333	2
ايد	0.272020725	2
ايضاح	0.75	3
ايمان	0.266666667	2
ابداعي	0.333333333	2
ارتياح	0.4	2
اسراف	0.333333333	2
اطراء	1	3
ابدي	0.75	3
ابهج	0	1
ارفع	0.5	2
ارق	0.318181818	2
اساسي	0.338709677	2
اسلس	0	1
اعلى	0.377952756	2
الفة	0.8	3
املس	0.5	2
انيس	1	3
اوسم	0	1
اول	0.484939759	2
اسر	0.406926407	2
باذخ	0	1
بارز	0.25	2
بارع	1	3
باستمرار	0.263157895	2
باسم	0.738738739	2
باهر	0	1
بجل	0.25	2
بحبوحة	0	1
بديع	0.4	2
بر	0.117647059	1
براعة	0.129032258	1
برد	0.774774775	3
برقة	0	1
بركة	0.585714286	2
بروح	0.450819672	2
بريق	0.428571429	2
بسمة	0.176470588	1
بشاشة	1	3
بصيرة	0	1
بطل	0.477822581	2
بطلا	0.368421053	2
بطولة	0.322033898	2
بقاء	0.625	2
بلاغة	1	3
بلغ	0.594142259	2
بلوغ	0.833333333	3
بليغ	0.75	3
بناء	0.429292929	2
بهيج	0	1
تاسر	1	3
تالق	0.157894737	1
تامين	0.515151515	2
تاييد	0.9	3
تاثير	0.457627119	2
تاكيد	0.321100917	2
تباهي	0.2	1
تبجيل	0	1
تثبت	0.277777778	2
تحديث	0.77443609	3
تحرير	0.409090909	2
تحسن	0.583333333	2
تحسين	0.542372881	2
تحفظ	0.5	2
تحقق	0.612903226	2
تحقيق	0.540816327	2
تحمس	0.666666667	2
تحمل	0.538461538	2
تحية	0.222222222	1
تخصيب	0	1
تخفيف	0.25	2
تدعيم	0.2	1
تدفق	0.428571429	2
ترحيب	0.222222222	1
ترسيخ	0	1
ترف	0.367816092	2
ترفيه	0.115942029	1
ترياق	0	1
تزكية	0	1
تزلف	1	3
تسامح	0.25	2
تساهل	0	1
تسلق	0.714285714	2
تسهيل	0.0625	1
تشاور	0	1
تشجيع	0.5	2
تصادفي	0	1
تصادق	0	1
تصالح	0.3125	2
تصبر	0	1
تصحيح	0.538461538	2
تصد	0.418181818	2
تصديق	0.5	2
تصويب	0	1
تضامن	0.666666667	2
تطهر	0	1
تطهير	0.571428571	2
تعافي	1	3
تعاون	0.355263158	2
تعزية	0	1
تعزيز	0.181818182	1
تعشق	0.5	2
تعفف	0	1
تعمير	0	1
تعويض	0.785714286	3
تغيير	0.609589041	2
تفضل	0.483870968	2
تفوق	0.142857143	1
تقدم	0.199367089	1
تقدير	0.206349206	1
تقوى	0	1
تقوية	0.2	1
تقي	0.507692308	2
تكاتف	1	3
تكاثر	0	1
تكرم	0.666666667	2
تكريم	0.333333333	2
تكسب	0.470588235	2
تكملة	0	1
تلبية	0.101265823	1
تلمع	0	1
تماسك	0.421052632	2
تمجيد	0	1
تمدح	0	1
تمكن	0.190789474	1
تمكين	0.25	2
تمهيد	0.5	2
تمول	0	1
تميز	0.058214748	1
تناغم	1	3
تنعم	0.111111111	1
تنوير	1	3
تهلل	0	1
تواب	1	3
تواد	0	1
تواضع	0.3	2
توافق	0.594594595	2
توجيه	0.4	2
تودد	0	1
توسيع	0.25	2
توضيح	0.24137931	1
توفير	0.347826087	2
توفيق	0.216	1
توق	0.444444444	2
توقير	0	1
توكيد	0	1
توهج	1	3
تيسير	0.8	3
ثابت	0.314814815	2
ثبات	0.411764706	2
ثراء	0.666666667	2
ثروة	0.777777778	3
ثري	0.416666667	2
ثقافة	0.433333333	2
ثقة	0.379310345	2
ثمين	0.071428571	1
ثورة	0.679738562	2
جاد	0.466666667	2
جدارة	0.133333333	1
جديد	0.426923077	2
جدير	0.368421053	2
جذاب	0.111111111	1
جذب	0.193181818	1
جذل	0	1
جذلان	0	1
جراة	0.636363636	2
جريء	0.4	2
جزم	0.5	2
جلالة	0	1
جليل	0.733333333	2
جمال	0.175	1
جميل	0.102536998	1
جميلة	0.135185185	1
جهد	0.375	2
جواد	1	3
جيد	0.132641292	1
حاذق	0	1
حار	0.231527094	1
حازم	0.736842105	2
حاسم	0.625	2
حاضر	0.385964912	2
حب	0.366336634	2
حبيب	0.388489209	2
حث	1	3
حداثة	0.4	2
حديث	0.569620253	2
حر	0.583333333	2
حرص	0.283018868	2
حرية	0.2	1
حريص	0.2	1
حسم	0.692307692	2
حصافة	1	3
حصيف	0	1
حض	0	1
حظ	0.545454545	2
حفز	1	3
حفظ	0.281818182	2
حفل	0.3046875	2
حق	0.383233533	2
حقيقي	0.328947368	2
حكمة	0.425531915	2
حكيم	0.166666667	1
حلاوة	0.3	2
حلو	0.188177035	1
حليم	0.125	1
حماس	0.533333333	2
حماسة	1	3
حماية	0.419354839	2
حمس	0.533333333	2
حميم	0.363636364	2
حنان	0.27027027	2
حنون	0.6	2
حي	0.070422535	1
حيوي	0.045454545	1
حيوية	0.133333333	1
خارق	0.285714286	2
خاشع	0	1
خاصة	0.187734668	1
خبير	0.607142857	2
خجل	0.444444444	2
خصب	0	1
خصيب	0	1
خفة	0.375	2
خفيف	0.18466899	1
خلاب	0.035714286	1
خلق	0.35971223	2
خلوق	0.142857143	1
خيالي	0.240384615	1
خير	0.357522124	2
داهية	0.75	3
دسيسة	0	1
دعم	0.422222222	2
دفء	0.25	2
دفع	0.575984991	2
دقة	0.252173913	2
دقيق	0.497435897	2
دهشة	0.363636364	2
دوى	0.526315789	2
ذروة	0.5	2
ذكاء	0.454545455	2
ذكي	0.25	2
ذهول	0.5	2
رابط الجاش	0	1
راحة	0.260869565	2
راسخ	0.5	2
راض	0.37037037	2
راغب	0.75	3
ربح	0.46875	2
ربوة	1	3
رجولة	0.75	3
رحب	0.4	2
رحم	0.295774648	2
رحمة	0.166666667	1
رحيم	0.075	1
رخيص	0.311053985	2
رد	0.579710145	2
رشاقة	0.5	2
رشد	0.625	2
رشيق	1	3
رعاية	0.24137931	1
رفاهية	0.090909091	1
رفع	0.532258065	2
رفيق	0.5	2
رقيق	0.333333333	2
رمز	0.404255319	2
روعة	0.037793667	1
زاخر	0	1
زعيم	0.210526316	1
زهيد	1	3
زيادة	0.515384615	2
ساحر	0.097560976	1
سار	0.383928571	2
سالم	0.5	2
ساهم	0.285714286	2
سخونة	0.8	3
سخي	0.723404255	2
سرعة	0.185520362	1
سرور	0.285714286	2
سريع	0.150282486	1
سطع	0.5	2
سعادة	0.348837209	2
سعد	0.363636364	2
سعي	0.404761905	2
سعيد	0.417721519	2
سكن	0.39673913	2
سلاسة	0.3	2
سلام	0.238952537	1
سلس	0.165137615	1
سليم	0.460869565	2
سماحة	1	3
سمح	0.655913978	2
سمعة	0.52173913	2
سمو	0.507462687	2
سهل	0.17251462	1
سهولة	0.165137615	1
سيادة	0.425	2
سيد	0.43715847	2
شاف	0.428571429	2
شاكر	0.0625	1
شامخ	0.454545455	2
شامل	0.214285714	1
شجاع	0.333333333	2
شجاعة	0.4	2
شخصية	0.347432024	2
شرف	0.523809524	2
شريف	0.347368421	2
شغف	1	3
شفاء	1	3
شكر	0.116089613	1
شمول	0.5	2
شهامة	0.2	1
شهم	0.285714286	2
شهي	0.141463415	1
شهير	0.266666667	2
شيق	0.2	1
صاحب	0.652920962	2
صادق	0.413793103	2
صارم	0.583333333	2
صاف	0.375	2
صافي	0.333333333	2
صالح	0.489208633	2
صامت	0.526315789	2
صبر	0.272727273	2
صبور	0	1
صحة	0.360655738	2
صحي	0.347193347	2
صحيح	0.56557377	2
صداقة	0.222222222	1
صدق	0.447115385	2
صدوق	0	1
صديق	0.334841629	2
صرامة	0	1
صريح	0.555555556	2
صفاء	1	3
صقل	0	1
صلابة	1	3
صلح	0.591194969	2
صون	0.37037037	2
ضحك	0.675496689	2
ضرورة	0.583333333	2
ضروري	0.425	2
ضمان	0.301204819	2
ضمير	0.266666667	2
طازج	0.145888594	1
طاعة	0.571428571	2
طاهر	0.428571429	2
طريف	0.5625	2
طموح	0.5	2
طور	0.231325301	1
طيب	0.253387534	2
عابد	0.4	2
عادل	0.573170732	2
عادي	0.65821501	2
عاشق	0.375	2
عاطفة	0.473684211	2
عاقل	0	1
عالي	0.252931323	2
عامر	0.15	1
عبقري	0.255813953	2
عجب	0.446808511	2
عجيب	0.234375	1
عدل	0.476190476	2
عذب	0.4375	2
عذوبة	0	1
عريق	0.162162162	1
عزم	0.342857143	2
عزيز	0.268115942	2
عشق	0.119402985	1
عطاء	0.405405405	2
عطف	0.083333333	1
عطوف	0.75	3
عطية	0.666666667	2
عظة	0	1
عظم	0.300411523	2
عظمة	1	3
عظيم	0.273333333	2
عفو	0.555555556	2
عفيف	0	1
عقل	0.39047619	2
علاج	0.171428571	1
علاقة	0.472727273	2
علاوة	0.066666667	1
عمق	0.405405405	2
عمل	0.436604775	2
عميق	0.266666667	2
عهد	0.531914894	2
غالي	0.414134742	2
غرامة	0	1
غزير	0	1
غفران	0.5	2
غفور	0.142857143	1
غنى	0.326923077	2
غني	0.252747253	2
فاتن	0.1	1
فاخر	0.02739726	1
فاضل	0.4	2
فاعل	0.432432432	2
فاعلية	0.333333333	2
فاهم	0.636363636	2
فتن	0.76	3
فتنة	0.764705882	3
فجر	0.612244898	2
فخر	0.2	1
فخم	0.08411215	1
فخور	1	3
فرح	0.387755102	2
فردية	0.5	2
فرسان	0.2	1
فسيح	0.214285714	1
فصيح	0	1
فضل	0.186269803	1
فضول	0.272727273	2
فضيلة	1	3
فطنة	0	1
فعال	0.36	2
فعالية	0.857142857	3
فكاهة	0.5	2
فلح	0.25	2
فهم	0.534375	2
فورا	0.608695652	2
فوز	0.515625	2
قابل	0.417021277	2
قابلية	1	3
قادر	0.5	2
قانوني	0	1
قبول	0.564102564	2
قداسة	0	1
قدرة	0.308823529	2
قدير	0.220588235	1
قديس	0	1
قمة	0.231818182	1
قنوع	0	1
قهر	0.730769231	2
قوة	0.310810811	2
قوي	0.239631336	1
قيادة	0.444444444	2
قيم	0.446280992	2
كاف	0.246710526	1
كامل	0.344559585	2
كبرياء	0.5	2
كبير	0.270729979	2
كبيرة	0.260273973	2
كتوم	0.4	2
كرامة	0.5625	2
كرم	0.310810811	2
كريم	0.11820331	1
كسب	0.432432432	2
كفء	1	3
كفاءة	0.314285714	2
كفل	0.375	2
كلاسيكي	0.21875	1
كمال	0.25	2
كياسة	1	3
لافت	0.363636364	2
لامع	0.222222222	1
لذيذ	0.074561404	1
لطافة	0.5	2
لطف	0.34	2
لطيف	0.31875	2
لمعان	0.6	2
ليونة	1	3
ماهر	0.333333333	2
مبارك	0.55	2
مبتسم	0.181818182	1
مبتكر	0.131578947	1
مبتهج	0	1
مبدع	0.146341463	1
مبشر	0.5	2
مبهج	1	3
مبهور	1	3
متاح	0.6	2
متالق	0.125	1
متانق	0	1
متجدد	0.260869565	2
متحضر	0.625	2
متحمل	0	1
مترف	1	3
متزلف	1	3
متسامح	1	3
متسق	0	1
متطور	0.181818182	1
متعة	0.083333333	1
متعفف	0	1
متعلم	0.666666667	2
متفوق	0.4	2
متقد	0.75	3
متقدم	0.5	2
متقن	0.137931034	1
متماسك	0.421052632	2
متميز	0.055147059	1
متناغم	1	3
متنوع	0.072222222	1
متهلل	0	1
متواضع	0.333333333	2
متوفر	0.083333333	1
متوهج	0	1
مثابر	1	3
مثابرة	1	3
مثالي	0.161290323	1
مثقف	0.666666667	2
مثل	0.348823867	2
مثمر	1	3
مثير	0.410958904	2
مجاملة	0.166666667	1
مجتهد	0.5	2
مجد	0.457142857	2
مجيد	0.5	2
محارب	0.8	3
محام	0.727272727	2
محب	0.38317757	2
محبب	0.3125	2
محبة	0.5	2
محبوب	0.529411765	2
محترم	0.357487923	2
محتفل	0	1
محسن	0.473684211	2
محظوظ	0	1
محنك	0.25	2
مخترع	0.166666667	1
مختلف	0.217105263	1
مخلص	0.473684211	2
مدح	0.627906977	2
مدروس	0.222222222	1
مدهش	0.066666667	1
مذهل	0.03030303	1
مرتاح	0.311111111	2
مرتب	0.168224299	1
مرح	0.25984252	2
مرغوب فيه	0	1
مرن	0.333333333	2
مرونة	1	3
مساع	0.425925926	2
مساعدة	0.320754717	2
مسافة	0.56	2
مساندة	0.4	2
مسبب	0.75	3
مستحسن	0	1
مستحق	0.555555556	2
مستعبد	1	3
مستقر	0.6	2
مستقل	0.384615385	2
مستقيم	0.6	2
مسرور	1	3
مشاهير	0.375	2
مشجع	0.466666667	2
مشدوه	1	3
مشرف	0.59375	2
مشرق	1	3
مشع	0.4	2
مشكور	0.090909091	1
مشهور	0.258333333	2
مشوق	0.166666667	1
مصادفة	0.8	3
مصقول	0.5	2
مصلحة	0.421052632	2
مصون	0	1
مصير	0.535714286	2
مضحك	0.777777778	3
مضيء	0.333333333	2
مضياف	0.5	2
مطلق	0.62962963	2
مطواع	0	1
مطيع	0.333333333	2
معافى	0	1
معجب	0.407407407	2
معجز	1	3
معروف	0.387755102	2
معطر	0.666666667	2
معقول	0.156626506	1
مغامر	0.5	2
مغذ	1	3
مغر	0.168831169	1
مغرم	0	1
مغوار	0	1
مفرح	0.333333333	2
مفضل	0.063492063	1
مفعم	0.1	1
مفهوم	0.442622951	2
مفيد	0.177777778	1
مقدام	0	1
مكافاة	0.5	2
مكانة	0.625	2
مكرر	0.583333333	2
مكرم	0.5	2
ملاءمة	0	1
ملموس	0.545454545	2
ملهم	0.38277512	2
ممتاز	0.069550749	1
ممتع	0.065	1
مميز	0.117690058	1
مناسب	0.108918129	1
مناضل	0.125	1
منافسة	0.315789474	2
منتبه	0	1
منتصر	0.444444444	2
منتعش	0	1
منح	0.510869565	2
مندهش	0	1
منصف	0	1
منظم	0.150485437	1
منفعل	0	1
منقذ	0.666666667	2
منقطع النظير	0	1
منيع	0	1
مهارة	0.153846154	1
مهذب	0.222222222	1
مهزوم	1	3
مهم	0.450391645	2
مهيب	1	3
موافقة	0.4	2
موثوق	1	3
موجز	0	1
موهبة	0.529411765	2
ميزة	0.081411126	1
ميمون	0	1
ناجح	0.3	2
ناجع	0	1
ناجي	0.444444444	2
نادر	0.357142857	2
ناصر	0.557142857	2
ناضج	0.2	1
ناعم	0.265306122	2
نبل	0.75	3
نبيل	0.48	2
نجاح	0.391111111	2
نجدة	0	1
نحب	0.28	2
نخبة	0.333333333	2
نزاهة	0	1
نزيه	0.714285714	2
نشاط	0.310344828	2
نشوة	0.111111111	1
نشيد	0.75	3
نشيط	0.333333333	2
نصح	0.211467324	1
نصر	0.508928571	2
نصف	0.654028436	2
نضال	0.384615385	2
نضج	0.083333333	1
نظافة	0.250692521	2
نظيف	0.161559889	1
نعمة	0.631578947	2
نعيم	0.230769231	1
نفع	0.313432836	2
نفوذ	0.428571429	2
نفيس	0	1
نقاء	0.117647059	1
نقي	0.272727273	2
نكهة	0.213592233	1
نمو	0.333333333	2
نموذجي	0	1
نهج	0.652173913	2
نهضة	0.777777778	3
نور	0.388059701	2
هاجس	1	3
هادي	0.161445783	1
هام	0.300970874	2
هتاف	0	1
هدوء	0.052287582	1
هدية	0.327272727	2
هيبة	0.178571429	1
هين	0.596153846	2
واثق	0.235294118	1
واسع	0.148635936	1
واسع العطاء	0	1
واضح	0.398907104	2
وافر	0.073170732	1
واقعي	0.253521127	2
وجيز	0.2	1
وحدة	0.609195402	2
ود	1	3
ودود	1	3
وديع	0.666666667	2
ورع	0.266666667	2
وسيم	0.666666667	2
وضح	0.305555556	2
وضوح	0.396551724	2
وعد	0.567656766	2
وفاء	0.333333333	2
وفرة	0.075697211	1
وقاية	1	3
وقر	0.417910448	2
ولاء	0.53164557	2
ولع	0.259259259	2
يسر	0.364864865	2
يقظة	0	1
اعظام	0	1
امتداح	0	1
باق	0.243073048	1
تحميد	0	1
تشريف	1	3
تعظيم	1	3
تفخيم	0	1
تقريظ	0	1
تنويه	0.5	2
تجليل	0	1
ثناء	0.35840708	2
حسن	0.411697248	2
حسن الصياغة	0	1
حمد	0.446909667	2
حظوة	0	1
خشوع	1	3
خالد	0.374331551	2
دايم	0.262382865	2
رشيق اللفظ	0	1
متفنن	0	1
منمق العبارة	0	1
